player           ID,season  ID,match    ID,match date,home/away?,win/loss?,player style,player L/R?,opp    style,opp L/R?,player sets,opp. sets,game ID,player games,opp. games,server,point ID,player point,opp. point,serve result,serve location,return: cross/line,result,point winner,shot type,fore/back,cross/line,point length,error  pos.,comments
,,,,,,,,,,0,0,,1,1,P,,3,0,f,b,l,u,o,s,b,c,s,n,
,,,,,,,,,,0,0,,1,1,P,,3,1,f,c,l,w,p,t,f,c,m,,
,,,,,,,,,,0,0,,2,1,O,,0,0,s,w,c,w,o,t,f,l,s,,
,,,,,,,,,,0,0,,2,1,O,,0,1,d,,,d,p,,,,,,
,,,,,,,,,,0,0,,2,1,O,,1,1,f,c,l,u,p,s,f,c,s,n,
,,,,,,,,,,0,0,,2,1,O,,2,1,f,w,c,w,o,t,f,c,s,,
,,,,,,,,,,0,0,,2,1,O,,2,2,f,c,l,w,p,t,f,l,s,,
,,,,,,,,,,0,0,,2,1,O,,3,2,f,c,c,w,o,t,f,c,s,,
,,,,,,,,,,0,0,,2,1,O,,3,3,d,,,d,p,,,,,,
,,,,,,,,,,0,0,,3,1,P,,0,0,f,c,l,w,p,s,f,l,s,,
,,,,,,,,,,0,0,,3,1,P,,1,0,f,c,l,f,p,t,f,l,m,n,
,,,,,,,,,,0,0,,3,1,P,,2,0,f,b,l,u,o,o,b,c,s,l,
,,,,,,,,,,0,0,,3,1,P,,2,1,f,w,c,u,o,t,f,c,s,n,
,,,,,,,,,,0,0,,3,1,P,,2,2,f,w,l,f,p,o,b,c,s,l,
,,,,,,,,,,0,0,,3,1,P,,3,2,f,,,a,p,,,,,,
,,,,,,,,,,0,0,,4,1,O,,0,0,s,b,l,u,p,t,f,c,s,l,
,,,,,,,,,,0,0,,4,1,O,,1,0,f,b,l,u,p,t,b,c,s,n,
,,,,,,,,,,0,0,,4,1,O,,2,0,f,b,c,w,o,t,f,l,m,,
,,,,,,,,,,0,0,,4,1,O,,2,1,s,b,l,u,o,s,b,c,s,n,
,,,,,,,,,,0,0,,4,1,O,,2,2,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,4,1,O,,3,2,f,b,c,w,p,t,f,c,s,,
,,,,,,,,,,0,0,,5,1,P,,0,0,f,b,l,u,o,t,b,l,s,,
